"","State","Account_Length","Area_Code","Phone","Intl_Plan","Vmail_Plan","Vmail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Calls","Churn"
"695","WI",165,"510","402-7746","no","no",0,154.2,91,268.6,108,188.8,99,10.9,4,6,"False."
"696","MT",96,"415","332-1494","no","no",0,97.6,98,105.5,118,220.2,105,11.6,9,1,"False."
"697","AR",156,"415","388-6223","no","no",0,178.8,94,178.4,97,169.2,77,7.5,3,1,"False."
"698","WA",63,"408","404-9539","no","no",0,149.3,104,273.6,75,206.6,72,9.1,4,0,"False."
"699","NH",37,"415","341-7332","no","no",0,206,89,186,88,307.1,86,8.4,11,0,"False."
"700","IA",98,"415","338-7886","no","no",0,216.8,86,190.8,114,187.5,79,11,9,0,"False."
"701","WV",121,"415","332-5596","no","no",0,103.3,110,129.1,82,167.1,113,10.7,3,0,"False."
"702","RI",94,"415","348-9945","no","no",0,139.4,95,159.1,92,128.2,129,7.7,3,0,"False."
"703","KS",99,"415","407-1896","no","no",0,191.2,110,163.9,102,243.6,114,14.1,3,1,"False."
"704","MT",163,"510","398-9408","no","yes",23,160,104,189.4,64,229.9,118,10.4,7,1,"False."
"705","MO",161,"510","369-8005","no","no",0,221.7,95,193,82,194.1,113,6.5,4,3,"False."
"706","HI",99,"415","346-2530","no","no",0,62.9,81,231,64,168.9,121,8.5,5,1,"False."
"707","CO",108,"415","400-5984","no","no",0,215.6,78,195.3,119,194.4,65,3.6,5,1,"False."
"708","CT",84,"510","351-1007","no","yes",42,165.3,97,223.5,118,260.8,72,7.6,7,3,"False."
"709","ID",83,"415","345-5980","yes","yes",32,94.7,111,154.4,98,200.4,109,10.6,6,2,"False."
"710","DC",139,"510","368-8964","no","no",0,203.2,81,152.5,99,197.8,76,9.7,3,2,"False."
"711","TN",69,"510","358-1912","no","no",0,195.3,70,216.7,108,259.9,119,12.5,4,3,"False."
"712","WY",129,"510","379-3132","no","no",0,143.7,114,297.8,98,212.6,86,11.4,8,4,"False."
"713","MO",106,"415","340-9910","no","no",0,114.4,104,78.3,101,232.7,78,0,0,2,"False."
"714","VA",158,"415","396-2719","no","no",0,222.8,101,203,128,210.6,106,6.9,2,2,"False."
"715","SD",168,"415","369-6204","no","yes",22,175.9,70,211.7,105,174.5,81,7.3,5,2,"False."
"716","WV",115,"510","420-9971","yes","no",0,249.9,95,242.5,104,151.7,121,15.3,6,1,"True."
"717","GA",57,"408","410-3782","yes","yes",30,234.5,130,195.2,116,268.8,94,11.4,4,2,"False."
"718","AZ",67,"415","404-4481","no","no",0,210.7,116,219.2,86,179.7,83,7.2,6,1,"False."
"719","AK",127,"408","383-9255","no","no",0,182.3,124,169.9,110,184,116,9.3,3,1,"False."
"720","AK",78,"510","418-9385","no","no",0,190.3,88,194.5,89,256.5,109,11.7,5,2,"False."
"721","CT",100,"415","360-9676","no","yes",38,177.1,88,163.7,108,242.7,72,7.4,2,0,"False."
"722","UT",103,"510","327-3587","no","yes",36,87.2,92,169.3,110,166.7,80,10.9,5,6,"True."
"723","KY",113,"415","385-4715","no","no",0,215.6,96,193.4,127,105.4,115,13.5,3,1,"False."
"724","MI",78,"510","414-2695","no","no",0,137.4,109,237.6,49,206.7,136,14,11,3,"False."
"725","OR",129,"510","331-5999","no","yes",36,192.8,103,177,83,216.5,118,16.4,5,1,"False."
"726","TN",57,"510","337-7739","no","no",0,149.3,100,200.2,110,231.7,101,11.9,3,2,"False."
"727","WV",82,"408","388-6658","no","no",0,143.7,116,170.7,99,287.7,95,7.8,5,1,"False."
"728","NJ",64,"415","405-6943","no","no",0,224.8,111,190,101,221.4,110,9.2,2,1,"False."
"729","MS",86,"510","382-4084","no","yes",39,261.2,122,214.2,101,154.9,101,12.7,5,2,"False."
"730","ME",151,"415","352-8249","no","yes",26,196.5,98,175.8,111,221.8,124,13.4,5,0,"False."
"731","WY",94,"510","353-8363","no","no",0,271.2,105,202.6,105,221.6,51,11.5,3,3,"True."
"732","WY",90,"415","416-2825","no","no",0,207.2,121,292.5,104,226.3,103,8,1,2,"False."
"733","IN",48,"510","342-6696","no","no",0,300.4,94,133.2,103,197.4,94,7.2,5,2,"False."
"734","NM",85,"408","338-9210","no","yes",37,229.6,123,132.3,90,211.9,76,9.5,8,2,"False."
"735","NJ",93,"415","328-1768","yes","yes",20,187.5,110,169.8,94,175.3,127,12.1,4,1,"False."
"736","DC",169,"415","406-5870","yes","no",0,57.1,98,199.7,78,274.7,103,6.5,6,3,"False."
"737","UT",68,"415","398-3834","no","no",0,162.1,86,155,86,189.7,87,11,9,5,"True."
"738","KY",91,"415","330-7754","yes","no",0,145,89,175.8,102,223.7,151,16.7,3,2,"True."
"739","KS",68,"510","414-9054","no","no",0,159.5,123,240.8,93,210.3,76,11.4,3,1,"False."
"740","MI",101,"510","350-2832","no","no",0,190.7,72,208.6,103,203.8,111,8.8,8,1,"False."
"741","UT",67,"510","414-9027","no","yes",20,230.6,40,189.1,58,162.2,115,9.4,2,1,"False."
"742","NE",66,"415","337-1225","no","no",0,34,133,278.6,61,129.6,120,11.5,3,0,"False."
"743","FL",116,"415","394-6577","no","yes",17,193.4,112,240.6,131,248.1,98,11.4,3,5,"False."
"744","LA",158,"408","359-6995","no","no",0,202,126,163.5,86,195.4,84,10.4,6,1,"False."
"745","MT",78,"415","377-7561","no","no",0,191.7,122,241.4,88,203.5,86,9.1,5,1,"False."
"746","WA",119,"415","380-6631","no","yes",26,161.3,97,250.3,110,142.4,92,6.6,8,1,"False."
"747","MI",120,"415","390-8876","no","no",0,150.6,85,119,128,232.9,123,6.4,2,1,"False."
"748","KY",155,"510","413-2201","no","no",0,184.6,102,196,117,226.5,122,7.8,1,1,"False."
"749","LA",106,"408","374-2073","no","no",0,220.7,120,270.2,95,121.6,113,8.7,5,1,"False."
"750","NM",87,"510","417-1272","yes","no",0,167.3,119,198.5,119,133.1,88,11,6,1,"False."
"751","AL",146,"415","358-1129","no","yes",32,154,80,185.5,91,148.2,107,8.2,4,3,"False."
"752","MO",101,"415","394-1211","no","yes",29,121.1,116,186.4,100,241.7,75,10.1,6,0,"False."
"753","CO",22,"510","327-1319","no","yes",23,182.1,94,164.6,59,128.8,102,12.7,4,3,"False."
"754","TX",90,"415","399-4413","no","no",0,109.6,88,137.6,108,159.7,121,11,5,2,"False."
"755","NY",41,"415","393-9985","no","no",0,209.9,105,121.9,105,253.7,104,9.6,4,1,"False."
"756","OR",69,"415","401-8377","no","no",0,167.5,76,242.1,92,101.2,103,11.4,4,2,"False."
"757","WY",33,"415","331-3202","no","no",0,213.9,88,239.8,119,148.7,71,9.8,14,2,"False."
"758","UT",112,"415","358-5953","no","no",0,115.8,108,243.3,111,184.6,78,13.1,5,1,"False."
"759","LA",108,"510","380-7624","no","yes",30,276.6,99,220.1,113,177.9,95,9.8,6,2,"False."
"760","NV",136,"415","416-5261","no","yes",21,179.4,88,181.1,97,320.7,120,9.5,4,2,"False."
"761","NC",128,"510","417-5067","no","no",0,187.3,84,270.8,95,206.4,68,10.1,5,1,"False."
"762","NC",27,"408","345-6515","no","no",0,201.2,128,227.2,100,145.8,91,8.4,3,2,"False."
"763","WY",161,"415","406-1349","yes","no",0,189.6,78,267.4,117,184.5,137,1.3,6,1,"False."
"764","TN",33,"415","360-9038","no","yes",35,186.8,124,261,69,317.8,103,15,5,0,"False."
"765","FL",120,"415","348-3444","no","yes",31,153.5,83,219.1,96,237.4,76,11.4,4,0,"False."
"766","CA",113,"415","370-2892","no","no",0,187.6,97,208.2,118,158.9,101,8.7,6,2,"False."
"767","PA",122,"415","383-4061","yes","no",0,230.9,132,243.2,99,182.4,57,11,2,0,"True."
"768","WV",148,"415","391-7937","no","yes",26,244.9,150,118,138,236,91,15.2,4,2,"False."
"769","NJ",74,"415","389-4083","no","no",0,230.9,93,223,78,157.8,101,9.7,2,3,"False."
"770","MT",106,"415","410-9633","no","no",0,187.1,104,250.2,117,144.9,81,11,3,1,"False."
"771","MN",179,"415","418-9502","no","no",0,170.7,54,191.1,108,214.6,107,13.3,4,1,"False."
"772","WI",149,"415","339-6637","yes","yes",28,126.9,97,166.9,102,145.2,77,8.8,3,5,"True."
"773","ID",77,"510","356-3403","no","no",0,189.5,112,207,95,214.1,91,9.2,7,0,"False."
"774","MA",127,"408","371-9457","yes","no",0,176.9,110,167.9,100,182.2,138,7.7,2,1,"True."
"775","OR",80,"415","391-8087","no","no",0,161.1,99,198.8,81,228.4,116,10.6,4,1,"False."
"776","MT",106,"510","392-6420","no","no",0,169.4,107,197.2,71,202.2,79,10.7,4,1,"False."
"777","AL",61,"415","399-4094","no","yes",20,254.4,133,161.7,96,251.4,91,10.5,4,0,"False."
"778","ND",135,"510","378-4013","yes","yes",24,127.7,54,215,105,234.3,84,5.8,4,2,"False."
"779","LA",115,"415","386-6306","no","yes",26,170.5,107,217.2,77,225.7,71,13.6,5,6,"False."
"780","ND",167,"408","359-3618","yes","no",0,219.1,100,242.9,90,168.9,101,10.1,4,2,"False."
"781","MS",107,"510","340-8875","yes","no",0,273.5,104,183.8,68,153.8,67,11,9,2,"False."
"782","WV",112,"415","330-2693","yes","no",0,161.9,138,200.9,114,134,134,10.7,4,1,"False."
"783","WI",35,"510","403-7627","no","yes",27,241.7,87,142,101,288.9,68,9.4,4,1,"False."
"784","KS",103,"408","342-3678","yes","no",0,62.8,124,170.4,66,280.2,78,9.4,4,3,"False."
"785","MO",107,"415","344-9943","no","yes",22,281.1,83,143.7,130,239.4,128,11.2,9,1,"False."
"786","PA",69,"415","390-5686","no","no",0,228.2,70,263.7,80,142.6,60,10.7,5,3,"False."
"787","SD",85,"408","358-5826","no","no",0,209.8,82,194.5,94,200.4,85,11.3,3,0,"False."
"788","NJ",24,"408","393-7826","no","no",0,265.6,86,208.8,102,182.5,105,11.1,6,2,"True."
"789","AL",90,"415","335-9786","no","no",0,214.9,97,117.8,117,133.7,78,11.8,2,2,"False."
"790","ME",137,"510","368-9860","no","no",0,110.5,79,223.2,111,169.5,64,10.5,3,3,"False."
"791","AZ",92,"415","416-9522","yes","yes",45,281.1,88,198,103,94.3,76,7.5,3,0,"False."
"792","VT",38,"415","416-7307","no","no",0,137.8,86,286.3,76,167,77,14.1,3,2,"False."
"793","NV",69,"510","397-6789","yes","yes",33,271.5,98,253.4,102,165.4,85,8.2,2,1,"True."
"794","WI",45,"408","335-9501","no","no",0,112.8,108,218.8,120,240.2,106,9,3,2,"False."
"795","HI",73,"408","388-1250","no","no",0,187.3,118,239.7,90,167.5,108,15.1,2,1,"False."
"796","DE",92,"415","386-1374","no","no",0,197,84,269.3,105,158.9,105,10.8,4,1,"False."
"797","AZ",113,"415","346-8112","no","yes",32,180.4,89,129.4,124,166.9,124,8.4,2,1,"False."
"798","VA",68,"408","364-9040","yes","no",0,148.5,126,219.4,125,198.5,121,14.5,7,1,"True."
"799","GA",135,"415","366-3944","no","yes",22,197.1,113,259.4,95,134.7,135,14.6,5,2,"False."
"800","AZ",100,"415","331-9861","no","yes",26,153.7,115,137.8,146,213.5,104,15.9,5,1,"False."
"801","MN",96,"415","330-2881","no","yes",27,261.3,96,220.9,101,179.4,97,11.3,2,1,"False."
"802","ME",108,"510","402-9558","no","no",0,246.2,102,202.4,134,180.1,95,9.4,5,1,"False."
"803","FL",84,"510","341-3180","no","no",0,191,88,318.8,119,247.3,79,6.5,4,0,"False."
"804","WA",134,"408","371-8598","no","no",0,208.3,86,253.6,89,291,86,12.6,3,1,"False."
"805","MT",72,"415","398-8385","no","no",0,253,73,219.3,78,210.8,89,9.8,4,0,"False."
"806","AL",83,"408","333-4154","no","no",0,202.3,87,201.5,111,101.7,82,6.8,4,0,"False."
"807","WV",137,"408","330-3589","no","no",0,174.4,120,156.3,98,136.5,121,10.2,5,0,"False."
"808","GA",56,"415","417-1477","no","yes",30,127.1,89,172.1,116,194.6,111,12.1,3,1,"False."
"809","OH",61,"510","327-5525","yes","yes",16,143.5,76,242.6,58,147.7,95,11.3,3,0,"False."
"810","DE",171,"510","363-8244","no","yes",17,186.9,94,240,138,200.9,64,5.8,3,1,"False."
"811","NE",123,"510","419-9104","no","no",0,194,118,242,114,146.3,108,12.1,4,1,"False."
"812","FL",58,"510","363-1560","no","no",0,234.8,89,106.8,131,178.5,122,9.9,6,0,"False."
"813","AK",156,"510","341-4075","no","no",0,123.7,96,103,80,189.4,82,13.1,4,1,"False."
"814","WI",166,"510","366-9074","no","no",0,173.9,103,276.4,83,190.8,113,15.3,5,0,"False."
"815","WA",75,"510","367-1424","no","yes",41,130.9,115,203.4,110,171.7,68,12.4,4,1,"False."
"816","KY",75,"415","341-1191","no","no",0,314.6,102,169.8,86,285.1,100,5.7,3,2,"True."
"817","OH",83,"510","342-9480","no","no",0,227.9,78,207.5,115,211.7,100,12.1,5,1,"False."
"818","UT",243,"510","355-9360","no","no",0,95.5,92,163.7,63,264.2,118,6.6,6,2,"False."
"819","NM",153,"408","343-1538","no","no",0,185.3,127,208,73,206.1,124,15.1,3,1,"False."
"820","MN",150,"415","335-2331","no","no",0,146.3,133,202.7,95,234.7,103,13.1,3,1,"False."
"821","WV",92,"510","335-7257","no","yes",16,184,99,76.4,134,185.1,96,12.7,3,2,"False."
"822","MN",80,"415","332-2137","no","no",0,105.8,110,43.9,88,189.6,87,13.1,5,0,"False."
"823","AL",134,"415","352-2998","no","no",0,178,110,153.8,64,236.6,105,11.7,4,1,"False."
"824","PA",77,"510","346-6941","no","yes",24,149.4,74,123.9,72,174.3,84,10.1,6,1,"False."
"825","DE",147,"510","400-2203","no","no",0,209.4,104,132.5,78,149.4,123,11.3,3,2,"False."
"826","MO",74,"415","421-2955","no","no",0,172.1,105,211.7,99,182.2,105,11.6,6,1,"False."
"827","IL",138,"510","331-6629","yes","no",0,169.3,82,217.9,147,184.2,77,9.4,9,1,"False."
"828","FL",143,"415","343-6314","no","no",0,119.1,117,287.7,136,223,100,12.2,4,0,"False."
"829","HI",64,"415","414-6638","no","no",0,194.2,147,173.4,87,268.7,114,5.5,2,2,"False."
"830","ME",120,"510","350-5883","no","no",0,198.8,56,230.1,73,119.8,81,9.9,3,2,"False."
"831","CO",121,"408","409-4447","yes","no",0,167.7,94,93.7,121,241.3,115,13.4,1,3,"True."
"832","NH",88,"415","376-4856","no","no",0,202.2,86,216.8,93,239.4,99,11.8,2,2,"False."
"833","SC",87,"408","335-1874","no","no",0,322.5,106,204.6,93,186.2,128,9.4,4,2,"True."
"834","IN",100,"510","397-6255","no","no",0,216.2,107,215.6,84,138.4,127,10.2,3,0,"False."
"835","FL",104,"415","381-5047","no","no",0,76.4,116,115.6,74,226.3,94,9.4,3,3,"False."
"836","GA",27,"510","403-6850","no","no",0,72.7,75,208.6,117,65.8,71,9.9,3,1,"False."
"837","IL",81,"415","375-3658","no","yes",31,210.4,100,225.5,97,168.7,120,9.7,4,0,"False."
"838","NC",64,"510","341-2603","yes","yes",33,127.2,93,162.9,104,247.4,109,8.1,13,0,"False."
"839","VT",107,"510","342-5062","no","yes",28,201.8,79,304.9,128,225.6,133,11.9,8,1,"False."
"840","DC",88,"415","354-1558","no","yes",17,219.5,78,222.1,94,188.3,92,16.1,5,1,"False."
"841","VT",111,"408","351-9537","no","no",0,99.3,112,270.5,136,225.3,94,9,6,3,"False."
"842","NV",77,"415","401-1252","no","no",0,239.2,114,150,115,160.8,81,10.3,2,5,"False."
"843","OR",67,"415","366-9538","yes","no",0,120.9,58,235,88,95.1,130,11.4,11,2,"False."
"844","AL",102,"408","364-7622","no","no",0,224.7,81,129.4,112,167.6,109,15.8,6,1,"False."
"845","ND",146,"408","393-9918","no","yes",19,176.6,88,162.7,66,215.5,98,14.6,6,1,"False."
"846","FL",144,"415","376-4484","no","yes",51,283.9,98,192,109,196.3,85,10,4,1,"False."
"847","NE",96,"415","410-6791","no","no",0,180.6,92,190.9,114,295.6,125,10.3,4,1,"True."
"848","ND",70,"415","343-2392","no","yes",31,125.9,101,196.4,102,252.7,75,10.3,4,1,"False."
"849","ME",149,"408","408-4323","no","no",0,237.6,79,192.4,107,207.4,111,9.1,9,0,"False."
"850","IL",129,"415","395-1718","no","no",0,198.4,91,264.7,106,111.4,101,9.2,2,2,"False."
"851","WA",166,"408","354-9492","no","no",0,274.3,110,52.9,109,246.1,119,10.9,5,0,"False."
"852","MA",136,"408","367-8168","yes","no",0,199.6,89,211.4,96,72.4,84,11,4,3,"True."
"853","KS",149,"510","340-3500","no","no",0,217.7,91,273.5,74,226.9,99,9.6,3,3,"False."
"854","RI",70,"415","369-4962","no","no",0,134.7,96,235.9,90,260.2,113,7.6,6,3,"False."
"855","MO",120,"415","334-8967","no","yes",24,212.7,73,257.5,103,227.8,119,9.7,13,2,"False."
"856","IA",66,"510","402-2377","no","no",0,256.3,135,180.2,106,187.3,135,6.2,7,2,"False."
"857","WY",104,"408","366-3917","no","no",0,183.6,133,120.7,98,215.1,112,12.7,2,1,"False."
"858","NV",160,"415","333-3531","no","no",0,176.2,90,196,115,263.9,95,9.2,4,1,"False."
"859","WI",129,"415","333-8954","no","yes",37,205,94,165.4,103,185,81,11.7,8,1,"False."
"860","AL",93,"408","374-9203","no","no",0,267.9,114,223,74,262.7,90,11.3,3,3,"True."
"861","HI",169,"415","334-3289","no","no",0,179.2,111,175.2,130,228.6,92,9.9,6,2,"False."
"862","MO",58,"415","353-7822","no","no",0,149.4,145,196.5,105,209.5,108,14.9,3,1,"False."
"863","CA",75,"510","350-1422","no","yes",38,163.6,132,146.7,113,345.8,115,13.1,3,3,"False."
"864","MO",45,"408","385-8406","no","no",0,207.6,71,152.7,94,217.8,125,12.4,13,1,"False."
"865","CT",155,"510","380-7277","no","no",0,165.4,108,183.7,103,80.2,108,8.9,4,3,"False."
"866","MD",52,"415","352-1798","no","no",0,209.8,114,171.3,82,154.6,119,9.9,9,4,"False."
"867","OH",119,"415","385-7922","no","yes",27,220.1,128,268.2,133,146.5,80,11.1,3,0,"False."
"868","NV",86,"510","353-7730","no","no",0,141.3,72,154.3,95,210.6,91,8.2,5,1,"False."
"869","MD",42,"408","337-7163","no","no",0,196.5,89,241.3,123,143.2,105,4,7,0,"False."
"870","NE",127,"510","348-5567","yes","no",0,180.9,114,209.5,118,249.9,105,7.4,4,2,"False."
"871","OH",123,"408","420-9575","no","no",0,105,150,251.6,90,258,93,14.9,5,0,"False."
"872","MA",98,"510","366-3358","no","no",0,271.4,119,190.4,102,284.7,118,11.1,6,4,"True."
"873","OK",149,"510","359-9972","no","yes",43,206.7,79,174.6,122,241.5,80,10.9,3,1,"False."
"874","MA",160,"408","387-3332","no","no",0,166.8,109,236,117,307.6,77,9.3,1,1,"False."
"875","WA",103,"415","354-6960","no","no",0,204.9,107,135.2,102,208.2,106,10.4,3,5,"False."
"876","HI",132,"415","405-3335","no","yes",15,154.6,128,245.6,106,148.6,90,9.1,4,1,"False."
"877","CO",137,"415","379-4257","no","no",0,127,107,323.2,75,143.9,127,7.5,2,1,"False."
"878","FL",129,"415","355-4992","yes","no",0,267.4,78,204.2,85,111.7,146,5.9,4,1,"False."
"879","WI",62,"415","383-6373","no","no",0,281,66,160.6,108,77.9,74,0,0,1,"False."
"880","ID",122,"510","382-7993","no","yes",33,270.8,96,220.4,110,169.9,104,11.8,8,4,"False."
"881","WY",32,"408","422-5865","no","no",0,171.2,82,185.6,102,203.3,64,10.2,7,1,"False."
"882","GA",86,"510","410-9961","no","no",0,124.1,82,202.6,120,289.6,119,6.7,8,3,"False."
"883","FL",130,"415","343-9946","no","no",0,162.8,113,290.3,111,114.9,140,7.2,3,1,"False."
"884","WY",42,"408","357-7060","no","no",0,146.3,84,255.9,113,45,117,8,12,1,"False."
"885","DE",73,"415","355-9541","no","no",0,254.8,85,143.4,80,153.9,102,15,7,2,"False."
"886","ME",66,"408","378-4145","no","yes",26,254.9,108,243.2,135,190.8,95,5.4,3,2,"False."
"887","DC",103,"510","386-2317","no","yes",31,107.7,124,188.9,104,196.2,98,8.9,3,0,"False."
"888","IA",128,"408","335-8146","no","no",0,158.8,75,264.8,91,270,77,7.6,7,1,"False."
"889","CO",104,"415","377-2235","no","no",0,182.9,113,239.6,85,229.8,104,5.5,4,2,"False."
"890","MN",103,"415","386-9141","no","no",0,198.5,112,42.5,90,179.2,124,12.4,5,0,"False."
"891","VT",124,"415","416-5623","no","no",0,178.4,72,233.6,134,179.4,91,12,2,0,"False."
"892","AZ",87,"510","327-3053","no","no",0,110.9,91,158.5,115,207.5,131,6.2,5,1,"False."
"893","LA",109,"415","395-6195","no","yes",27,166.9,85,221.2,92,197.3,97,12.3,4,1,"True."
"894","MO",167,"415","397-8772","yes","no",0,244.8,91,60.8,105,176.7,110,10.7,3,2,"False."
"895","ME",97,"510","346-7656","no","no",0,120.8,96,169.8,101,194.1,63,11.9,3,4,"True."
"896","MD",106,"415","343-2350","no","no",0,165.3,118,210,101,187.2,93,8.5,3,2,"False."
"897","VT",125,"415","372-4722","no","no",0,126.7,113,155.5,131,206.2,112,14.4,7,2,"False."
"898","DC",108,"408","399-8615","no","yes",35,215.9,106,200.6,107,195.4,107,15.5,7,0,"False."
"899","WY",125,"415","379-8248","no","no",0,140.1,132,209.6,126,264.1,77,8,2,1,"False."
"900","VA",89,"415","414-6219","no","yes",32,209.9,113,249.8,104,224.2,92,8.7,7,1,"False."
"901","VA",72,"510","387-1343","yes","yes",29,139.8,114,138.2,91,221,88,5.5,6,0,"False."
"902","CT",23,"510","370-5527","no","no",0,321.6,107,251.6,115,141.1,158,11.3,3,2,"True."
"903","HI",149,"510","393-8736","no","no",0,166.6,61,218.8,107,208.3,131,8.2,6,7,"False."
"904","WI",73,"415","402-7626","no","no",0,214.2,90,196.8,78,157.9,112,5.9,8,0,"False."
"905","MD",61,"415","370-2688","no","no",0,260,123,210.5,127,234.7,70,9,3,1,"True."
"906","WV",161,"415","418-9036","no","no",0,191.9,113,70.9,87,204.8,107,13.4,4,4,"True."
"907","VT",73,"408","417-2035","no","no",0,213,95,188.8,104,136.2,89,13.5,3,0,"False."
"908","UT",118,"415","355-3602","no","yes",24,118.1,83,109.6,72,245.5,73,16.9,2,1,"False."
"909","CO",23,"408","393-4027","no","no",0,190.2,89,166.4,108,219.8,73,15,4,6,"False."
"910","NC",127,"415","418-5141","no","yes",25,82.2,95,163.3,109,264.9,104,5.1,6,0,"False."
"911","NJ",42,"415","406-1247","no","yes",32,163.8,80,177.8,123,190.4,106,8.1,5,0,"False."
"912","AR",118,"415","402-3892","no","no",0,267.8,145,316.4,121,208.6,91,14.4,11,5,"True."
"913","IA",45,"510","332-2965","no","no",0,159.8,91,120.4,86,163,93,10.6,3,2,"False."
"914","GA",50,"408","377-1218","no","yes",24,214.3,129,289.8,55,312.5,130,10.6,4,1,"False."
"915","MO",179,"510","355-2464","no","no",0,287.3,123,288,114,266,112,10.5,4,0,"True."
"916","MO",152,"408","404-4611","no","no",0,101.2,122,141.6,87,198.5,124,7.5,3,2,"False."
"917","WY",105,"415","373-2339","no","no",0,102.8,74,281.7,125,228.1,113,13.2,5,2,"False."
"918","HI",72,"415","410-3503","no","no",0,109.1,97,115.7,96,295.8,84,8.3,6,0,"False."
"919","PA",52,"408","410-4739","no","no",0,215.9,67,217,108,342.8,130,5.2,2,1,"False."
"920","TX",125,"415","365-3562","no","no",0,203.4,110,128.7,97,190.5,113,11,4,1,"False."
"921","VA",143,"510","387-7641","no","no",0,110.1,113,169,59,166.7,94,9.2,2,1,"False."
"922","RI",65,"415","385-9744","no","no",0,111,51,219.8,84,202,89,4.4,14,1,"False."
"923","WI",80,"415","398-5006","no","no",0,239.9,121,142.3,51,364.3,106,9.3,5,1,"False."
"924","MS",1,"415","408-3977","no","no",0,144.8,107,112.5,66,218.7,79,13.8,3,1,"False."
"925","KY",60,"408","334-2729","no","no",0,135.4,134,205.9,85,204,103,7.9,4,1,"False."
"926","NC",43,"415","334-7685","no","no",0,84.2,134,80.8,103,196.1,79,10.8,2,1,"False."
"927","NV",143,"415","350-9228","no","no",0,209.1,127,106.1,80,179.6,90,14,6,0,"False."
"928","UT",81,"415","407-5774","no","yes",24,130.1,117,196,61,139.3,123,11.4,5,0,"False."
"929","ME",205,"510","413-4039","no","yes",24,175.8,139,155,98,180.7,64,7.8,5,2,"False."
"930","HI",24,"415","343-2077","no","no",0,241.9,104,145.2,112,214.5,105,6.6,5,1,"False."
"931","OH",74,"415","336-5661","no","no",0,136.7,106,228.6,105,265.3,114,9.8,4,0,"False."
"932","WV",77,"510","355-4143","no","no",0,67.7,68,195.7,86,236.5,137,12,2,1,"False."
"933","OK",74,"415","366-5918","no","no",0,200.4,87,309.2,105,152.1,118,10,2,1,"False."
"934","KY",74,"510","368-7555","yes","no",0,125.8,103,207.7,96,207.4,143,14.1,4,1,"True."
"935","AL",200,"408","408-2119","no","no",0,128.2,87,133.2,105,177.6,123,11.2,2,1,"False."
"936","MD",86,"408","329-2789","no","no",0,226.3,88,223,107,255.6,92,13,3,4,"False."
"937","NE",91,"510","334-1508","no","yes",37,162.3,107,233.9,115,277.4,94,9.2,4,0,"False."
"938","DC",76,"415","337-1506","no","no",0,224.4,121,147.9,97,183.8,74,6.7,2,2,"False."
"939","TX",130,"415","396-8400","no","no",0,120.5,127,189.7,52,270.1,107,14.3,2,1,"False."
"940","OH",56,"408","349-2654","no","no",0,91.1,90,179.3,115,300.7,89,11.9,8,2,"False."
"941","DE",117,"415","417-2716","no","no",0,168.8,137,241.4,107,204.8,106,15.5,4,0,"False."
"942","IA",63,"510","402-1725","no","no",0,153.5,81,287.3,115,230.2,85,6.5,5,2,"False."
"943","VT",126,"415","403-3229","no","no",0,226.2,88,140.3,114,208.9,110,6.4,2,0,"False."
"944","OR",132,"510","353-6056","no","no",0,191.9,107,206.9,127,272,88,12.6,2,1,"False."
"945","NV",81,"415","399-9802","no","yes",28,167.9,147,190.7,105,193,103,9.2,6,4,"True."
"946","NC",122,"415","366-7069","no","no",0,180,88,145,77,233.7,120,11.5,6,2,"False."
"947","NJ",46,"408","332-5949","no","no",0,257.4,67,261.1,91,204.4,107,13.4,5,2,"True."
"948","MN",150,"415","393-6376","no","yes",28,174.4,75,169.9,80,201.6,130,11,4,1,"False."
"949","ID",99,"408","354-7025","no","no",0,159.7,83,155.4,121,255.7,114,8.4,3,1,"False."
"950","AL",87,"408","351-6585","no","no",0,237.2,124,222.6,87,173.3,81,11,3,1,"False."
"951","AK",108,"415","330-5462","no","no",0,103,129,242.3,103,170.2,89,7.9,3,1,"False."
"952","VT",101,"415","407-2292","no","no",0,153.8,89,234,89,196.3,77,11.6,2,4,"False."
"953","PA",53,"415","340-3011","no","no",0,205.1,86,160.5,95,149.5,142,10.7,2,3,"False."
"954","AK",132,"415","345-9153","no","yes",39,175.7,93,187.2,94,225.5,118,8.6,3,2,"False."
"955","CA",158,"510","379-5503","no","no",0,155.9,123,224.2,112,221,116,8.6,8,2,"False."
"956","MS",114,"415","389-6790","no","yes",34,154.4,109,221.4,142,208.5,103,10.3,5,0,"False."
"957","AR",77,"415","408-3610","no","yes",23,209.7,73,183.6,63,205.5,111,7.1,3,2,"False."
"958","NV",144,"415","375-8238","yes","no",0,150,69,285.9,73,190.6,121,9.4,15,0,"False."
"959","AL",91,"510","378-5633","no","yes",23,232.4,97,186,88,190.5,128,12.3,3,3,"False."
"960","GA",58,"408","389-9120","no","no",0,165.4,100,115.7,87,193.8,118,12.8,5,2,"False."
"961","AR",5,"415","380-2758","no","no",0,199.2,106,187.3,12,214,85,13.3,3,3,"False."
"962","MA",97,"408","402-2728","no","no",0,217.6,81,320.5,51,150.7,110,4.2,3,0,"False."
