"","State","Account_Length","Area_Code","Phone","Intl_Plan","Vmail_Plan","Vmail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Calls","Churn","Mahalanobis","Outlier","Test_Split"
"840","DC",88,"415","354-1558","no","yes",17,219.5,78,222.1,94,188.3,92,16.1,5,1,"False.",8.09251018472051,FALSE,0.315812789136544
"841","VT",111,"408","351-9537","no","no",0,99.3,112,270.5,136,225.3,94,9,6,3,"False.",11.0683549583627,FALSE,0.804256279254332
"842","NV",77,"415","401-1252","no","no",0,239.2,114,150,115,160.8,81,10.3,2,5,"False.",14.6423739051582,FALSE,0.988963411189616
"844","AL",102,"408","364-7622","no","no",0,224.7,81,129.4,112,167.6,109,15.8,6,1,"False.",10.2380279779548,FALSE,0.322385551873595
"846","FL",144,"415","376-4484","no","yes",51,283.9,98,192,109,196.3,85,10,4,1,"False.",16.05396767157,FALSE,0.992170619312674
"847","NE",96,"415","410-6791","no","no",0,180.6,92,190.9,114,295.6,125,10.3,4,1,"True.",6.59440216577659,FALSE,0.148352391785011
"849","ME",149,"408","408-4323","no","no",0,237.6,79,192.4,107,207.4,111,9.1,9,0,"False.",11.7268827850479,FALSE,0.597353482618928
"850","IL",129,"415","395-1718","no","no",0,198.4,91,264.7,106,111.4,101,9.2,2,2,"False.",7.54047649172276,FALSE,0.321328443475068
"852","MA",136,"408","367-8168","yes","no",0,199.6,89,211.4,96,72.4,84,11,4,3,"True.",10.445505440997,FALSE,0.527929000323638
"853","KS",149,"510","340-3500","no","no",0,217.7,91,273.5,74,226.9,99,9.6,3,3,"False.",8.87797113945544,FALSE,0.795422020368278
"856","IA",66,"510","402-2377","no","no",0,256.3,135,180.2,106,187.3,135,6.2,7,2,"False.",14.5110559021463,FALSE,0.69502069731243
"857","WY",104,"408","366-3917","no","no",0,183.6,133,120.7,98,215.1,112,12.7,2,1,"False.",8.36301905044375,FALSE,0.948631507344544
"858","NV",160,"415","333-3531","no","no",0,176.2,90,196,115,263.9,95,9.2,4,1,"False.",5.6947494470835,FALSE,0.277769317384809
"859","WI",129,"415","333-8954","no","yes",37,205,94,165.4,103,185,81,11.7,8,1,"False.",10.6266446801498,FALSE,0.249406585237011
"860","AL",93,"408","374-9203","no","no",0,267.9,114,223,74,262.7,90,11.3,3,3,"True.",10.0221406685582,FALSE,0.159435480134562
"862","MO",58,"415","353-7822","no","no",0,149.4,145,196.5,105,209.5,108,14.9,3,1,"False.",11.3908005639999,FALSE,0.557437583105639
"865","CT",155,"510","380-7277","no","no",0,165.4,108,183.7,103,80.2,108,8.9,4,3,"False.",10.2054208331426,FALSE,0.48983705160208
"866","MD",52,"415","352-1798","no","no",0,209.8,114,171.3,82,154.6,119,9.9,9,4,"False.",15.9245670846601,FALSE,0.494292361894622
"867","OH",119,"415","385-7922","no","yes",27,220.1,128,268.2,133,146.5,80,11.1,3,0,"False.",13.3785750587627,FALSE,0.888371585169807
"869","MD",42,"408","337-7163","no","no",0,196.5,89,241.3,123,143.2,105,4,7,0,"False.",15.4363101758718,FALSE,0.203743813559413
"870","NE",127,"510","348-5567","yes","no",0,180.9,114,209.5,118,249.9,105,7.4,4,2,"False.",4.26983595985887,FALSE,0.513781139161438
"871","OH",123,"408","420-9575","no","no",0,105,150,251.6,90,258,93,14.9,5,0,"False.",16.0210584057738,FALSE,0.236339889001101
"872","MA",98,"510","366-3358","no","no",0,271.4,119,190.4,102,284.7,118,11.1,6,4,"True.",13.0008188155839,FALSE,0.575435669859871
"873","OK",149,"510","359-9972","no","yes",43,206.7,79,174.6,122,241.5,80,10.9,3,1,"False.",14.156341297757,FALSE,0.482257911469787
"874","MA",160,"408","387-3332","no","no",0,166.8,109,236,117,307.6,77,9.3,1,1,"False.",13.4399550070706,FALSE,0.569352688733488
"875","WA",103,"415","354-6960","no","no",0,204.9,107,135.2,102,208.2,106,10.4,3,5,"False.",10.5330562481894,FALSE,0.144152315100655
"876","HI",132,"415","405-3335","no","yes",15,154.6,128,245.6,106,148.6,90,9.1,4,1,"False.",5.68160504894701,FALSE,0.145708762574941
"877","CO",137,"415","379-4257","no","no",0,127,107,323.2,75,143.9,127,7.5,2,1,"False.",15.4817006485472,FALSE,0.412283112993464
"878","FL",129,"415","355-4992","yes","no",0,267.4,78,204.2,85,111.7,146,5.9,4,1,"False.",18.0038588771738,FALSE,0.6830102824606
"880","ID",122,"510","382-7993","no","yes",33,270.8,96,220.4,110,169.9,104,11.8,8,4,"False.",14.997611040795,FALSE,0.653427820419893
"881","WY",32,"408","422-5865","no","no",0,171.2,82,185.6,102,203.3,64,10.2,7,1,"False.",9.87088646868588,FALSE,0.915986333042383
"882","GA",86,"510","410-9961","no","no",0,124.1,82,202.6,120,289.6,119,6.7,8,3,"False.",13.9155098208437,FALSE,0.813113132491708
"883","FL",130,"415","343-9946","no","no",0,162.8,113,290.3,111,114.9,140,7.2,3,1,"False.",14.0147943254149,FALSE,0.67589000123553
"885","DE",73,"415","355-9541","no","no",0,254.8,85,143.4,80,153.9,102,15,7,2,"False.",12.5028602998816,FALSE,0.807499109301716
"886","ME",66,"408","378-4145","no","yes",26,254.9,108,243.2,135,190.8,95,5.4,3,2,"False.",12.1530346753801,FALSE,0.128064419608563
"887","DC",103,"510","386-2317","no","yes",31,107.7,124,188.9,104,196.2,98,8.9,3,0,"False.",8.95469011567897,FALSE,0.250778533983976
"888","IA",128,"408","335-8146","no","no",0,158.8,75,264.8,91,270,77,7.6,7,1,"False.",10.7505101517524,FALSE,0.331546991597861
"889","CO",104,"415","377-2235","no","no",0,182.9,113,239.6,85,229.8,104,5.5,4,2,"False.",5.44634902364954,FALSE,0.407269289949909
"890","MN",103,"415","386-9141","no","no",0,198.5,112,42.5,90,179.2,124,12.4,5,0,"False.",15.0961817202798,FALSE,0.6353675769642
"891","VT",124,"415","416-5623","no","no",0,178.4,72,233.6,134,179.4,91,12,2,0,"False.",10.3016231963569,FALSE,0.808612044900656
"892","AZ",87,"510","327-3053","no","no",0,110.9,91,158.5,115,207.5,131,6.2,5,1,"False.",9.31367041393787,FALSE,0.258801201358438
"893","LA",109,"415","395-6195","no","yes",27,166.9,85,221.2,92,197.3,97,12.3,4,1,"True.",3.92805419691319,FALSE,0.819467139896005
"895","ME",97,"510","346-7656","no","no",0,120.8,96,169.8,101,194.1,63,11.9,3,4,"True.",9.99422612048813,FALSE,0.654400766594335
"896","MD",106,"415","343-2350","no","no",0,165.3,118,210,101,187.2,93,8.5,3,2,"False.",2.44398355710236,FALSE,0.811719584278762
"897","VT",125,"415","372-4722","no","no",0,126.7,113,155.5,131,206.2,112,14.4,7,2,"False.",9.54803310644173,FALSE,0.461368926800787
"898","DC",108,"408","399-8615","no","yes",35,215.9,106,200.6,107,195.4,107,15.5,7,0,"False.",11.4013449832893,FALSE,0.203417101642117
"900","VA",89,"415","414-6219","no","yes",32,209.9,113,249.8,104,224.2,92,8.7,7,1,"False.",7.52032127448777,FALSE,0.283132697222754
"901","VA",72,"510","387-1343","yes","yes",29,139.8,114,138.2,91,221,88,5.5,6,0,"False.",12.3282447757024,FALSE,0.915272625628859
"904","WI",73,"415","402-7626","no","no",0,214.2,90,196.8,78,157.9,112,5.9,8,0,"False.",11.9224188384255,FALSE,0.933696520514786
"905","MD",61,"415","370-2688","no","no",0,260,123,210.5,127,234.7,70,9,3,1,"True.",10.6662425947699,FALSE,0.542531613726169
"906","WV",161,"415","418-9036","no","no",0,191.9,113,70.9,87,204.8,107,13.4,4,4,"True.",15.6088161261338,FALSE,0.219422545982525
"907","VT",73,"408","417-2035","no","no",0,213,95,188.8,104,136.2,89,13.5,3,0,"False.",6.825956977688,FALSE,0.489427804015577
"910","NC",127,"415","418-5141","no","yes",25,82.2,95,163.3,109,264.9,104,5.1,6,0,"False.",15.1070550967796,FALSE,0.801148736150935
"911","NJ",42,"415","406-1247","no","yes",32,163.8,80,177.8,123,190.4,106,8.1,5,0,"False.",11.4868227955673,FALSE,0.40763065777719
"913","IA",45,"510","332-2965","no","no",0,159.8,91,120.4,86,163,93,10.6,3,2,"False.",6.89309157827349,FALSE,0.103711566887796
"915","MO",179,"510","355-2464","no","no",0,287.3,123,288,114,266,112,10.5,4,0,"True.",16.2516776510142,FALSE,0.28056517476216
"916","MO",152,"408","404-4611","no","no",0,101.2,122,141.6,87,198.5,124,7.5,3,2,"False.",10.5745843342417,FALSE,0.361466220580041
"917","WY",105,"415","373-2339","no","no",0,102.8,74,281.7,125,228.1,113,13.2,5,2,"False.",11.0572250501654,FALSE,0.259244841057807
"918","HI",72,"415","410-3503","no","no",0,109.1,97,115.7,96,295.8,84,8.3,6,0,"False.",12.6631217127596,FALSE,0.47068183356896
"920","TX",125,"415","365-3562","no","no",0,203.4,110,128.7,97,190.5,113,11,4,1,"False.",4.01270888538861,FALSE,0.365845473250374
"921","VA",143,"510","387-7641","no","no",0,110.1,113,169,59,166.7,94,9.2,2,1,"False.",10.5005000487256,FALSE,0.121272054268047
"925","KY",60,"408","334-2729","no","no",0,135.4,134,205.9,85,204,103,7.9,4,1,"False.",6.80402728686282,FALSE,0.262796304188669
"926","NC",43,"415","334-7685","no","no",0,84.2,134,80.8,103,196.1,79,10.8,2,1,"False.",17.4468963295372,FALSE,0.968641167972237
"927","NV",143,"415","350-9228","no","no",0,209.1,127,106.1,80,179.6,90,14,6,0,"False.",12.5147515919698,FALSE,0.488495482364669
"928","UT",81,"415","407-5774","no","yes",24,130.1,117,196,61,139.3,123,11.4,5,0,"False.",12.1294276245499,FALSE,0.477822029730305
"929","ME",205,"510","413-4039","no","yes",24,175.8,139,155,98,180.7,64,7.8,5,2,"False.",17.3978646959447,FALSE,0.748792881146073
"930","HI",24,"415","343-2077","no","no",0,241.9,104,145.2,112,214.5,105,6.6,5,1,"False.",9.50891220575484,FALSE,0.667640231316909
"932","WV",77,"510","355-4143","no","no",0,67.7,68,195.7,86,236.5,137,12,2,1,"False.",14.4982591066769,FALSE,0.695105244405568
"933","OK",74,"415","366-5918","no","no",0,200.4,87,309.2,105,152.1,118,10,2,1,"False.",9.18633237315453,FALSE,0.363261566730216
"934","KY",74,"510","368-7555","yes","no",0,125.8,103,207.7,96,207.4,143,14.1,4,1,"True.",9.27131181832103,FALSE,0.884133607381955
"935","AL",200,"408","408-2119","no","no",0,128.2,87,133.2,105,177.6,123,11.2,2,1,"False.",13.4893940083621,FALSE,0.775297229643911
"936","MD",86,"408","329-2789","no","no",0,226.3,88,223,107,255.6,92,13,3,4,"False.",8.92634427635045,FALSE,0.139203641330823
"937","NE",91,"510","334-1508","no","yes",37,162.3,107,233.9,115,277.4,94,9.2,4,0,"False.",10.4230763337174,FALSE,0.295009271241724
"938","DC",76,"415","337-1506","no","no",0,224.4,121,147.9,97,183.8,74,6.7,2,2,"False.",8.83537378146616,FALSE,0.12608278542757
"939","TX",130,"415","396-8400","no","no",0,120.5,127,189.7,52,270.1,107,14.3,2,1,"False.",15.7924050027925,FALSE,0.58990162378177
"940","OH",56,"408","349-2654","no","no",0,91.1,90,179.3,115,300.7,89,11.9,8,2,"False.",13.3723990399445,FALSE,0.561675608856604
"941","DE",117,"415","417-2716","no","no",0,168.8,137,241.4,107,204.8,106,15.5,4,0,"False.",10.0821976281204,FALSE,0.688721120124683
"942","IA",63,"510","402-1725","no","no",0,153.5,81,287.3,115,230.2,85,6.5,5,2,"False.",9.06301137282637,FALSE,0.311270809033886
"943","VT",126,"415","403-3229","no","no",0,226.2,88,140.3,114,208.9,110,6.4,2,0,"False.",9.16671869853935,FALSE,0.605586841469631
"944","OR",132,"510","353-6056","no","no",0,191.9,107,206.9,127,272,88,12.6,2,1,"False.",7.84493923243902,FALSE,0.991034318925813
"945","NV",81,"415","399-9802","no","yes",28,167.9,147,190.7,105,193,103,9.2,6,4,"True.",13.9778947520387,FALSE,0.743204915197566
"947","NJ",46,"408","332-5949","no","no",0,257.4,67,261.1,91,204.4,107,13.4,5,2,"True.",11.3122055027114,FALSE,0.451168906409293
"949","ID",99,"408","354-7025","no","no",0,159.7,83,155.4,121,255.7,114,8.4,3,1,"False.",6.22440258569066,FALSE,0.33955551404506
"950","AL",87,"408","351-6585","no","no",0,237.2,124,222.6,87,173.3,81,11,3,1,"False.",6.00541458792557,FALSE,0.73395214881748
"952","VT",101,"415","407-2292","no","no",0,153.8,89,234,89,196.3,77,11.6,2,4,"False.",8.23613822863911,FALSE,0.771909482311457
"953","PA",53,"415","340-3011","no","no",0,205.1,86,160.5,95,149.5,142,10.7,2,3,"False.",11.6087830235019,FALSE,0.462975211208686
"954","AK",132,"415","345-9153","no","yes",39,175.7,93,187.2,94,225.5,118,8.6,3,2,"False.",8.62183564173144,FALSE,0.720840350026265
"955","CA",158,"510","379-5503","no","no",0,155.9,123,224.2,112,221,116,8.6,8,2,"False.",8.47353535366424,FALSE,0.666505717206746
"956","MS",114,"415","389-6790","no","yes",34,154.4,109,221.4,142,208.5,103,10.3,5,0,"False.",11.0898821991986,FALSE,0.572073720628396
"957","AR",77,"415","408-3610","no","yes",23,209.7,73,183.6,63,205.5,111,7.1,3,2,"False.",9.94731453995698,FALSE,0.703812950057909
"959","AL",91,"510","378-5633","no","yes",23,232.4,97,186,88,190.5,128,12.3,3,3,"False.",7.50355714813864,FALSE,0.65722106047906
"960","GA",58,"408","389-9120","no","no",0,165.4,100,115.7,87,193.8,118,12.8,5,2,"False.",7.10363968753816,FALSE,0.289352145045996
"964","MO",142,"415","417-2054","no","yes",30,154,75,165.8,97,270,83,10.8,5,1,"False.",9.80696981259086,FALSE,0.962421321077272
"965","NY",9,"408","353-1941","no","yes",31,193.8,130,202.6,98,191.2,102,13.3,2,1,"False.",13.7616324972094,FALSE,0.736334029119462
"966","AZ",73,"415","328-1522","no","no",0,175.4,130,248.1,105,122.4,85,12.2,4,0,"False.",9.34680386081912,FALSE,0.612723468570039
"967","NJ",48,"510","408-4529","no","yes",22,152,63,258.8,131,263.2,109,15.7,5,2,"True.",17.4503151567101,FALSE,0.119928880827501
"968","WV",43,"408","417-5320","no","no",0,230.2,147,186.7,121,128.4,100,9.2,3,0,"False.",14.833843167445,FALSE,0.550259046489373
"969","NM",122,"408","370-9755","no","yes",33,174.9,103,248.2,105,164.6,116,13.5,3,1,"True.",7.86227680940135,FALSE,0.262756277807057
"970","SC",93,"415","372-4835","no","no",0,190.2,68,262.2,64,130,92,8.8,4,0,"False.",12.2723091204958,FALSE,0.898360831197351
"972","TN",59,"415","399-5564","no","no",0,160.9,95,251.2,65,273.4,97,5,5,3,"False.",12.8644860427673,FALSE,0.236234935931861
"973","LA",87,"415","392-2887","no","no",0,228.7,90,163,99,154.1,90,11.8,3,1,"False.",4.38382406491373,FALSE,0.130044595338404
"974","OH",137,"408","328-2110","no","no",0,144,90,181.6,100,128.1,93,12.3,2,0,"False.",7.67034040624641,FALSE,0.326233146712184
"976","DE",129,"510","332-6181","no","no",0,334.3,118,192.1,104,191,83,10.4,6,0,"True.",13.3709530992832,FALSE,0.72639888827689
"977","KY",104,"415","330-5255","no","no",0,130.5,77,131.2,117,264.7,63,13,6,0,"False.",14.1144641394968,FALSE,0.991745235398412
"978","GA",93,"408","413-5190","no","yes",21,134.2,105,162.5,128,186.6,90,11.8,2,4,"True.",10.2498321127013,FALSE,0.715133527759463
"979","VT",63,"415","394-7447","no","no",0,278,102,266.4,114,224.1,118,13.1,4,4,"True.",13.7927078301634,FALSE,0.504439810989425
"980","OR",161,"415","353-7096","no","no",0,105.4,70,214.8,122,223.6,126,7.8,5,0,"False.",13.9248136303738,FALSE,0.436047671828419
"981","TX",50,"510","395-6002","no","no",0,188.9,94,203.9,104,151.8,124,11.6,8,3,"False.",10.0032519637786,FALSE,0.948825250612572
"982","MO",103,"408","372-9816","no","yes",24,111.8,85,239.6,102,268.3,81,6.9,4,1,"False.",9.42906803446689,FALSE,0.120181487640366
"985","NV",77,"415","378-8572","no","no",0,142.3,112,306.3,111,196.5,82,9.9,1,1,"False.",9.98353584488058,FALSE,0.889021492796019
"988","KS",110,"415","369-8024","yes","yes",27,267.9,103,263.3,74,178.1,106,8.3,2,1,"True.",10.1829741326986,FALSE,0.424452095059678
"992","MI",50,"415","361-3779","no","yes",35,192.6,97,135.2,101,216.2,101,7.9,2,2,"False.",9.8028719437948,FALSE,0.647442143643275
"994","TN",70,"510","395-4757","no","no",0,126.3,99,141.6,106,255.9,96,9.6,2,0,"False.",7.59359150224391,FALSE,0.468619162449613
"995","NY",147,"510","421-7205","no","yes",33,251.5,107,234.1,110,213.4,87,10.4,6,3,"False.",9.71256987436868,FALSE,0.617926123319194
"996","NV",94,"510","379-8805","no","no",0,190.6,108,152.3,95,144.7,97,7.5,5,1,"False.",4.46059948038359,FALSE,0.270815432537347
"997","IL",179,"510","348-2150","no","no",0,116.1,101,201.8,99,181.9,103,11.6,5,0,"False.",7.56716889751115,FALSE,0.157295286655426
"998","MS",116,"415","417-9128","no","no",0,217.3,91,216.1,95,148.1,76,11.3,3,2,"False.",4.8850938756001,FALSE,0.114254270214587
"999","ND",59,"510","351-4226","no","no",0,179.4,80,232.5,99,175.8,105,14.7,3,0,"False.",7.83239248319128,FALSE,0.507682863157243
"1000","NC",165,"415","330-6630","no","no",0,207.7,109,164.8,94,54.5,91,7.9,3,0,"False.",16.0204540596445,FALSE,0.548032287508249
"1001","MI",133,"408","387-9137","no","no",0,277.3,138,228.4,117,117.3,103,12.8,4,2,"True.",13.3701415866504,FALSE,0.140646189451218
"1002","TN",140,"415","372-3987","no","no",0,125.3,84,167.6,121,260.6,94,8.4,4,1,"False.",7.34379611886473,FALSE,0.16976905008778
"1003","VT",93,"408","408-5183","no","yes",32,138.1,91,167.3,72,238.9,115,6.8,3,2,"False.",10.3134214208121,FALSE,0.761985323159024
"1004","OK",52,"510","412-9357","no","yes",38,169.3,88,225.9,97,172,86,8.2,3,0,"False.",10.7415392255697,FALSE,0.527394940610975
"1005","DE",64,"415","402-3599","no","yes",27,201.3,101,143.8,89,150.2,127,12.3,3,1,"False.",8.91727829828913,FALSE,0.860989357577637
"1006","ND",12,"510","379-5211","yes","no",0,216.7,117,116.5,126,220,110,9.8,4,2,"False.",11.9801966253062,FALSE,0.67355498787947
"1008","NY",181,"408","340-9200","no","no",0,143.3,91,195.5,58,223.3,95,6,7,1,"False.",14.536909568391,FALSE,0.693198901368305
"1010","FL",155,"415","343-4772","no","no",0,181.4,111,167.7,92,168.5,122,11.3,3,3,"False.",6.86288460402977,FALSE,0.89171373215504
"1013","ND",182,"415","400-3945","no","no",0,104.9,111,198.5,120,258.2,91,8,5,2,"False.",10.2919129085265,FALSE,0.63185017532669
"1014","NY",104,"415","338-3781","no","no",0,156.2,93,193,54,222.7,94,13.1,5,1,"False.",7.90198038010591,FALSE,0.107294654939324
"1015","OH",102,"415","342-6316","no","no",0,114.8,125,81.9,126,304.3,101,12,4,0,"False.",16.9153318204486,FALSE,0.921065203845501
"1016","AL",122,"415","336-5920","no","no",0,232.5,96,205.5,120,213.7,91,11.9,2,0,"False.",6.21512105241134,FALSE,0.675362381152809
"1017","SC",41,"415","332-1060","no","no",0,143.6,117,152.4,108,194.4,110,8.6,3,1,"False.",6.28497649705228,FALSE,0.148593712598085
"1018","GA",132,"415","418-3426","no","no",0,176.7,132,244.1,80,176.3,120,9.1,4,2,"False.",7.26944012946124,FALSE,0.745341842295602
"1019","WY",76,"415","408-6326","no","no",0,263.4,148,230.3,69,170.6,101,11.4,5,1,"True.",13.9198668476076,FALSE,0.942598861875013
"1020","WV",13,"415","334-6142","no","no",0,146.4,74,148.5,92,216.7,96,11.3,3,1,"False.",9.30463385128762,FALSE,0.420783375622705
"1023","LA",154,"510","388-8670","no","no",0,166.9,99,154.9,97,189.4,89,7.2,5,0,"False.",6.62714391942307,FALSE,0.297723078168929
"1024","AR",100,"510","363-5853","no","no",0,142.5,87,195.7,88,122.1,117,7.8,8,2,"False.",9.36706725436468,FALSE,0.259426670148969
"1025","AK",146,"510","383-6544","yes","no",0,133,65,262.8,93,214.3,128,11.2,3,1,"False.",10.77087020169,FALSE,0.222881316905841
"1026","DC",148,"415","378-2940","no","yes",11,252.9,129,284.3,88,262.8,99,12.3,1,1,"False.",13.6208563574067,FALSE,0.565654343459755
"1027","AL",67,"415","338-7683","no","yes",28,95,94,291.2,73,159.6,114,10,2,2,"False.",13.0999635734964,FALSE,0.756650132825598
"1028","UT",161,"510","329-2786","yes","no",0,194.2,106,249.4,105,254.9,129,12.9,1,1,"True.",11.1489367789614,FALSE,0.669603545917198
"1030","MN",116,"510","337-3769","no","no",0,201.8,82,231.5,95,226.1,130,16.5,5,0,"False.",11.8546042212514,FALSE,0.546522794291377
"1031","VA",99,"415","400-6257","no","yes",42,216,125,232.3,104,215.5,100,9.3,4,2,"True.",9.24834412413301,FALSE,0.811463657766581
"1032","UT",87,"415","411-6663","no","no",0,146.3,108,171.8,102,167.5,66,5.3,9,1,"False.",13.6358166072071,FALSE,0.759166802046821
"1034","CT",70,"408","339-5329","no","no",0,198.6,111,213.9,115,171.2,105,10.6,6,2,"False.",3.44481704293831,FALSE,0.380903700133786
"1036","VT",119,"510","403-1769","no","no",0,190.4,74,215.6,113,161.2,111,10,1,2,"False.",6.44217884183582,FALSE,0.797902937280014
"1037","MO",119,"408","390-1612","no","yes",32,142.6,77,208.2,126,171,102,12,2,3,"False.",10.593949181055,FALSE,0.923699213191867
"1038","RI",87,"510","421-7214","yes","no",0,134.2,80,165,71,173.1,102,10.7,5,0,"False.",7.02950674446525,FALSE,0.542598370462656
"1040","RI",75,"415","333-9826","no","no",0,122.8,89,211.3,104,261.4,91,10.7,2,2,"False.",5.42272119733872,FALSE,0.852364600170404
"1041","CT",150,"510","411-8549","no","no",0,189.3,77,220.9,105,238.7,117,9.2,5,4,"False.",9.04612603436907,FALSE,0.583562863292173
"1042","IN",161,"510","381-9234","no","yes",38,240.4,112,201.8,102,206.1,112,16.1,6,0,"False.",15.3192901863517,FALSE,0.668323643505573
"1043","FL",91,"510","387-9855","yes","yes",24,93.5,112,183.4,128,240.7,133,9.9,3,0,"False.",13.0022723083601,FALSE,0.511314596515149
"1044","KS",124,"415","371-6990","no","no",0,158.6,104,211.2,77,179.3,104,10.2,8,3,"False.",7.00292664209636,FALSE,0.762750589288771
"1045","NY",94,"510","417-3046","yes","no",0,243.2,109,147,88,94.9,99,7.2,4,4,"False.",13.7595001370396,FALSE,0.90336228790693
"1047","RI",158,"510","365-5886","no","no",0,220.9,129,242.2,108,233.3,75,6.4,5,0,"False.",11.3272742281731,FALSE,0.820474512176588
"1051","MN",139,"510","357-9832","no","yes",25,96.2,112,178.9,70,182.1,84,12.9,10,2,"False.",16.3932173732447,FALSE,0.866560179740191
"1052","NC",103,"415","396-4845","no","no",0,263.4,118,179.1,69,214.7,112,10.3,2,0,"False.",9.67111734631869,FALSE,0.576245168922469
"1054","NH",78,"408","353-4296","no","no",0,162.3,116,192.4,86,240.6,100,10.1,3,2,"False.",3.16527861903691,FALSE,0.313842572038993
"1055","AK",50,"408","362-8331","no","no",0,183.6,107,58.6,118,202.6,99,8.7,3,1,"False.",11.9949072306805,FALSE,0.959465783787891
"1056","OR",161,"415","362-4685","no","no",0,178.1,109,146.5,86,137.6,78,8.5,2,1,"False.",9.53831091325082,FALSE,0.591193757019937
"1057","KS",67,"408","383-1431","no","no",0,201.4,101,97.6,122,202.5,119,7,3,0,"False.",11.1272366811193,FALSE,0.531409335788339
"1059","GA",92,"510","375-8304","no","no",0,208,125,198.9,76,76.4,97,8.6,6,0,"False.",13.1720009408397,FALSE,0.383936671540141
"1060","NM",174,"415","340-5580","no","no",0,239.2,72,188.5,124,105.6,116,8.8,3,1,"False.",14.2821976301595,FALSE,0.319553229492158
"1061","OH",124,"510","362-1490","no","no",0,193,97,89.8,99,172.8,104,15.3,3,1,"False.",9.984144949015,FALSE,0.808386255288497
"1063","RI",190,"415","361-1315","no","yes",26,116.7,71,145.9,88,175.1,103,9.9,3,1,"False.",13.9238606658346,FALSE,0.363742694724351
"1064","HI",101,"510","342-5906","no","no",0,93.8,127,150,104,241.1,116,10.7,2,1,"False.",8.82511849683706,FALSE,0.856596966972575
"1065","WY",185,"415","405-7904","yes","yes",30,154.1,114,118.7,106,258.4,105,12.9,3,2,"False.",13.489673774266,FALSE,0.697946578497067
"1066","NY",68,"415","349-4762","no","yes",29,239.5,82,203.8,105,167.8,70,9.9,6,0,"False.",10.8053304904147,FALSE,0.684486472979188
"1067","KS",117,"510","385-3263","no","yes",25,216,140,224.1,69,267.9,112,11.8,4,0,"False.",12.6638499174576,FALSE,0.34801505273208
"1068","LA",118,"408","405-9496","no","no",0,187.4,97,177.8,89,233.4,97,12.2,6,1,"False.",2.87241544015161,FALSE,0.554681829409674
"1069","PA",124,"415","396-6775","no","no",0,167.4,119,233.2,143,109.6,115,10.3,5,0,"False.",12.2811802226905,FALSE,0.137243617558852
"1070","NV",22,"510","393-6475","no","no",0,160.4,108,218.1,88,192.9,115,12.5,4,1,"False.",6.77195382477005,FALSE,0.784931556321681
"1071","MN",75,"415","379-7779","no","no",0,143.2,92,209.1,142,173,96,11.9,9,1,"False.",12.0119528587404,FALSE,0.886862571584061
"1074","NY",44,"510","407-9244","no","no",0,143.2,77,169.8,114,215.8,77,7.6,4,1,"False.",8.030908873067,FALSE,0.20409588329494
"1075","ME",177,"415","406-8809","no","no",0,232.8,106,175.2,97,212.2,77,12.5,7,2,"False.",9.13566440020706,FALSE,0.770622961455956
"1076","NH",110,"408","358-1778","no","no",0,162,81,247.5,89,155.5,99,8.9,8,0,"False.",8.55715156980652,FALSE,0.596362960757688
"1078","NY",108,"415","344-7197","no","no",0,154.2,123,112.3,86,246.4,75,15.4,4,4,"True.",15.7863023989597,FALSE,0.957669742405415
"1079","ME",80,"408","333-7631","no","no",0,322.3,113,222,95,162.8,123,6.7,8,0,"True.",17.4225034697267,FALSE,0.158688397612423
"1080","MN",158,"408","372-6623","no","no",0,209.9,112,221.3,82,210,93,8.2,3,1,"False.",5.51808123310053,FALSE,0.525974274147302
"1083","SD",88,"415","397-5381","no","no",0,215.6,115,216.2,85,171.3,65,11.8,1,3,"False.",10.4200757700777,FALSE,0.873151367530227
"1084","UT",82,"510","406-4604","yes","no",0,208.8,101,213.7,87,175.1,86,12.4,6,3,"False.",5.19024668404741,FALSE,0.869706070283428
"1086","MT",60,"408","360-1852","no","no",0,252.7,97,221.1,121,109.9,100,12.4,4,2,"False.",9.00877904616123,FALSE,0.975889693479985
"1087","NJ",113,"408","421-7270","no","no",0,132.1,72,247.5,107,246.2,123,6.9,6,3,"False.",10.2619492228606,FALSE,0.490224198205397
"1088","FL",109,"408","371-9482","no","no",0,217,115,207,142,268,106,8.2,4,1,"False.",8.39606022635985,FALSE,0.389170323032886
"1089","IN",105,"510","337-4101","no","yes",42,101.9,79,223.1,97,241.6,77,12.9,2,0,"False.",16.3983716719731,FALSE,0.417554959887639
"1091","AL",131,"510","366-4225","no","no",0,153.4,86,198.5,81,164.4,83,10.4,3,0,"False.",6.03468762661732,FALSE,0.161809210199863
"1092","ME",59,"510","398-4567","no","no",0,166.3,95,239.3,87,123.2,108,10,3,2,"False.",5.64335979349463,FALSE,0.405416495166719
"1095","AK",115,"415","333-3704","no","no",0,245.2,105,159,109,229.9,74,7.2,8,0,"False.",10.9767479409859,FALSE,0.341814444167539
"1096","ID",106,"510","383-2566","no","no",0,274.4,120,198.6,82,160.8,62,6,3,1,"False.",13.4444556069637,FALSE,0.415257453219965
"1097","RI",93,"415","406-5584","no","no",0,98.4,78,249.6,129,248.2,114,14.2,4,1,"False.",11.4609659463937,FALSE,0.304052469087765
