"","State","Account_Length","Area_Code","Phone","Intl_Plan","Vmail_Plan","Vmail_Message","Day_Mins","Day_Calls","Eve_Mins","Eve_Calls","Night_Mins","Night_Calls","Intl_Mins","Intl_Calls","CustServ_Calls","Churn","Mahalanobis","Outlier"
"458","KY",54,"408","356-1420","no","no",0,159.8,99,264,64,115.7,70,9.7,7,2,"False.",13.483904899611,FALSE
"459","DC",11,"415","343-1323","no","yes",28,190.6,86,220.1,122,180.3,80,6,3,3,"False.",15.4493094254004,FALSE
"460","WA",109,"415","361-8239","no","no",0,184,120,120.4,119,153.7,86,11,3,0,"False.",8.48944041638535,FALSE
"461","UT",90,"415","384-1621","no","no",0,261.8,128,220.6,104,136.6,91,9.6,5,1,"False.",7.26258192775163,FALSE
"462","RI",115,"408","360-3525","no","no",0,147.9,109,228.4,117,299.7,90,9.6,9,3,"False.",12.1334909196351,FALSE
"463","OH",144,"415","392-3813","no","yes",18,106.4,109,108.1,113,208.4,111,10.1,5,1,"False.",8.39536899038358,FALSE
"464","NV",91,"408","337-6898","no","no",0,133.7,75,195.3,87,280.5,89,5.9,2,0,"False.",11.7674169032935,FALSE
"465","ND",105,"415","366-8036","no","yes",23,193.5,85,220.2,90,272.4,111,8.5,5,0,"False.",6.98041205612184,FALSE
"466","NV",71,"415","352-8327","yes","no",0,178.2,113,167.8,94,182.1,111,13.6,3,3,"True.",5.84114629608902,FALSE
"467","FL",132,"510","334-9505","no","yes",36,226.2,103,181.6,125,258.8,102,10.5,5,3,"True.",10.9788138587149,FALSE
"468","MD",112,"415","336-5702","no","no",0,170.4,103,200.2,71,258.3,100,11.6,4,1,"False.",4.59125312606594,FALSE
"471","NE",44,"415","416-8697","no","no",0,240.3,146,164.6,83,240.7,106,10.6,2,1,"False.",12.7075700359785,FALSE
"472","NV",78,"408","345-3451","no","no",0,75,116,248.7,87,176,83,9.5,6,3,"False.",9.45792775409499,FALSE
"473","IL",149,"408","379-2514","no","no",0,69.1,117,136.3,100,181.7,53,6.3,3,1,"False.",17.0939151820172,FALSE
"476","AR",74,"510","329-9046","no","no",0,148.5,111,146.5,42,289.2,83,9.9,6,3,"False.",17.228812802071,FALSE
"477","UT",50,"510","406-3890","no","no",0,258.1,106,161.4,106,225.1,110,11.7,5,1,"False.",6.11903911081913,FALSE
"478","GA",141,"510","403-8904","no","yes",23,149.7,112,162.5,118,220.3,115,7.6,2,3,"False.",9.67228814328358,FALSE
"479","AZ",140,"408","393-4086","no","no",0,149.8,134,164.4,98,294.7,124,8.1,2,1,"False.",12.3150198100682,FALSE
"480","ID",99,"408","400-1367","no","no",0,190.4,102,158.1,107,271.5,92,11.2,4,2,"False.",3.70051988996146,FALSE
"481","HI",166,"408","377-9473","no","no",0,181.4,108,253.8,54,112.3,94,11.6,6,1,"False.",14.1521315900687,FALSE
"482","NV",124,"408","396-3068","no","no",0,151.1,123,187.4,104,255.4,93,5.3,3,1,"False.",7.77621129290875,FALSE
"483","MD",74,"415","331-9293","no","no",0,155.7,116,173.7,63,257.4,97,8.1,4,0,"False.",9.14798976484501,FALSE
"485","GA",85,"510","395-1962","no","no",0,222.3,132,231.5,101,223.5,75,11,2,3,"False.",8.97790053832626,FALSE
"486","UT",36,"415","401-5485","no","yes",16,149.4,111,131.8,113,132.7,87,6.7,2,0,"False.",13.4631348368722,FALSE
"487","MA",102,"510","355-6560","yes","no",0,233.8,103,221.6,131,146.9,106,12.8,3,0,"False.",7.96250478630153,FALSE
"488","IN",76,"415","363-3911","no","no",0,204.2,100,292.6,139,244.3,105,10.5,2,0,"False.",11.8434637710965,FALSE
"490","IA",130,"415","361-5277","no","no",0,150.4,119,230.5,99,186.3,76,12.3,4,1,"False.",4.74993825169263,FALSE
"491","IN",78,"415","376-7145","no","no",0,208.9,119,252.4,132,280.2,120,12.8,7,0,"False.",12.9849128051612,FALSE
"492","AL",55,"415","375-2975","yes","no",0,191.9,91,256.1,110,203.7,101,14.3,6,1,"True.",6.59022021048037,FALSE
"493","ME",92,"415","376-8573","yes","no",0,130.7,113,260.6,122,244.2,98,9.4,2,2,"True.",6.82778834041912,FALSE
"495","MD",18,"408","347-7898","no","no",0,273.6,93,114.6,116,250.6,120,8.2,4,1,"False.",14.2690457700987,FALSE
"496","FL",161,"415","390-7328","yes","no",0,156.1,114,180.3,63,179.6,115,11.1,9,2,"False.",12.4875805522639,FALSE
"497","CA",93,"415","356-5491","no","yes",36,178.7,134,178.6,102,126.8,82,8,4,2,"False.",12.0001922428959,FALSE
"498","AL",144,"415","373-3251","no","no",0,177.5,93,287.4,75,180.5,118,11.9,3,2,"False.",9.16384888730813,FALSE
"499","ME",75,"408","343-1965","yes","no",0,211.3,61,105.6,119,175.9,63,9.7,4,4,"True.",17.6805882463087,FALSE
"500","WV",95,"415","378-8019","no","no",0,175.2,91,244.4,109,75.8,95,7.5,2,1,"False.",10.4108616567541,FALSE
"501","SD",126,"415","386-1548","no","yes",23,114.3,102,190.3,103,240.4,111,12.6,7,3,"False.",8.20850528898324,FALSE
"502","FL",124,"415","397-1649","no","yes",28,251.4,104,225.1,89,251.9,121,7.5,5,1,"False.",8.91615050185819,FALSE
"503","MI",93,"415","366-7247","yes","no",0,216.9,61,207.4,120,221.7,110,17.5,5,1,"True.",14.0551624346586,FALSE
"504","MI",109,"415","402-9691","yes","yes",26,217.2,138,145.5,111,280.7,76,9.3,3,0,"False.",13.5704035501836,FALSE
"506","AK",41,"415","378-7733","no","no",0,159.3,66,125.9,75,261.9,76,11.1,5,1,"False.",13.0105062738178,FALSE
"507","OH",136,"415","407-2248","no","yes",31,143.1,88,236.6,65,227.8,120,11.4,5,2,"False.",11.532751902169,FALSE
"509","KS",143,"408","407-2081","no","yes",24,186.6,69,222,116,234.9,138,11.6,5,1,"False.",11.6180181671195,FALSE
"510","MS",118,"415","397-9148","no","yes",26,170.8,114,199.5,125,169.7,98,9.6,5,5,"True.",13.7862569315025,FALSE
"511","VT",193,"408","415-4857","no","yes",17,124,102,202.9,81,205.1,129,12.3,3,1,"False.",12.640609289553,FALSE
"512","NE",73,"415","354-7314","no","no",0,198.3,94,279.3,101,146.2,87,14.8,8,3,"False.",12.4117028669821,FALSE
"513","VA",62,"408","346-5611","no","no",0,172.8,101,204.8,97,240.8,90,9.1,8,2,"False.",5.2402771149044,FALSE
"514","DE",30,"415","349-4703","no","yes",30,217.4,74,213.8,86,227.2,104,6.6,3,0,"False.",13.0827344691149,FALSE
"517","MS",96,"510","420-5990","no","no",0,98.2,100,307.2,88,182.5,120,7.6,1,2,"False.",13.1481548114968,FALSE
"518","OK",52,"408","389-4780","no","no",0,214.7,68,158.6,138,123.4,114,9.4,4,2,"False.",12.809270683598,FALSE
"519","NM",87,"415","357-2735","no","no",0,168.2,92,224.7,100,169.5,99,12.9,3,1,"False.",2.76969618406666,FALSE
"520","WI",41,"408","409-4791","no","no",0,202.9,97,153.8,104,113.5,92,9,3,3,"False.",9.01633323808875,FALSE
"521","WV",112,"415","380-5286","no","no",0,261.4,108,154.5,102,130.9,90,11.6,2,1,"False.",7.50602501831433,FALSE
"522","SC",88,"510","394-8402","no","no",0,73.3,86,161.4,82,239.6,76,8.2,3,4,"True.",13.1369740324109,FALSE
"524","MO",61,"408","364-1969","no","no",0,45,108,151.3,74,152.9,94,9.8,6,2,"False.",12.0169499872451,FALSE
"525","IL",87,"510","390-4152","no","no",0,231.3,105,171.7,108,67.7,136,13,6,1,"False.",14.2470225047534,FALSE
"526","OK",176,"408","367-7039","no","no",0,47.4,125,167.8,90,163.1,107,10.5,8,2,"False.",15.5015868895086,FALSE
"527","MI",30,"510","391-6607","no","no",0,227.4,88,182.5,100,191.7,134,12.5,3,0,"False.",10.4769027082026,FALSE
"528","NJ",95,"415","379-6652","no","yes",22,40.9,126,133.4,90,264.2,91,11.9,7,0,"False.",16.7155756165162,FALSE
"529","ID",46,"415","384-1833","no","no",0,124.8,133,157.3,143,199.3,72,8.6,4,2,"False.",15.2582304279329,FALSE
"531","NY",47,"415","391-1348","no","yes",37,163.5,77,203.1,102,232,87,7.8,4,2,"False.",10.3388124957727,FALSE
"532","AL",77,"415","408-4174","no","no",0,163,112,219.1,89,233.4,66,6.7,3,2,"False.",7.30618386819891,FALSE
"533","OR",98,"415","366-4334","no","yes",38,213.7,61,253,104,207.7,73,10.7,5,2,"False.",13.4381520309847,FALSE
"537","TX",128,"415","350-8680","no","yes",40,171.2,88,145.7,109,196.8,93,14,6,1,"False.",11.0426508167973,FALSE
"538","UT",190,"415","398-9870","no","yes",22,166.5,93,183,92,121,102,8.5,3,0,"False.",12.7265215104005,FALSE
"539","OR",165,"415","343-3356","no","no",0,216.6,126,190.8,104,224.7,123,12.4,8,0,"False.",11.0263012564916,FALSE
"540","NY",59,"408","415-4609","no","no",0,107.8,113,216.6,125,217.5,92,9.9,3,2,"False.",6.49133592124949,FALSE
"541","AL",47,"408","404-5387","no","yes",28,141.3,94,168,108,113.5,84,7.8,2,1,"False.",11.7029238150117,FALSE
"544","NC",26,"415","393-3300","no","no",0,234.5,109,216.5,129,191.6,94,3.5,6,3,"False.",16.2467079111859,FALSE
"546","RI",95,"510","339-4317","no","yes",27,129.5,106,248.9,90,268,115,11.9,3,1,"False.",7.96260137888678,FALSE
"547","WI",69,"510","418-6455","yes","no",0,279.8,90,248.7,91,171,118,8.4,10,2,"True.",13.8829613802617,FALSE
"550","OK",121,"408","364-2495","no","yes",31,237.1,63,205.6,117,196.7,85,10.1,5,4,"False.",14.6640664006296,FALSE
"551","AK",111,"415","364-7719","no","no",0,172.8,58,183.1,108,158.8,104,7.9,3,4,"True.",11.9764312106914,FALSE
"552","NY",157,"415","421-1189","no","no",0,224.5,111,200.7,99,116.6,118,11.5,2,2,"False.",8.68107646150657,FALSE
"553","GA",44,"510","419-8987","no","no",0,288.1,112,258,92,192.4,90,10.2,4,3,"True.",10.4880910128214,FALSE
"554","UT",61,"510","402-9980","yes","no",0,78.2,103,195.9,149,108,100,10.1,6,2,"False.",15.9910077134161,FALSE
"555","NM",65,"415","376-5908","no","no",0,148.7,80,259,94,149.5,107,12.7,6,2,"False.",6.5733601485948,FALSE
"556","NE",74,"415","400-3150","no","yes",25,194.6,84,119.9,103,175.5,75,13.1,2,2,"False.",9.92455035275959,FALSE
"557","NJ",123,"408","336-1749","no","no",0,159.5,77,303.8,92,226.9,120,12,4,0,"False.",10.2354877646869,FALSE
"558","TX",58,"408","420-1259","no","yes",20,194.5,110,213.7,89,236.6,92,9.5,2,1,"False.",4.76498901194696,FALSE
"559","MT",74,"408","339-7541","no","no",0,174.1,96,251.1,94,257.6,123,8.3,5,2,"True.",5.61176682940642,FALSE
"560","CO",125,"415","378-9029","no","no",0,131.8,97,136.7,100,308.2,119,7.7,6,2,"False.",10.5252482856833,FALSE
"561","VT",80,"415","342-7514","no","no",0,160.6,103,237,109,245.1,88,10.7,1,1,"False.",5.18905672236809,FALSE
"562","RI",53,"408","422-4956","no","yes",18,146.8,107,310,84,178.7,130,7.2,7,0,"False.",14.732600747066,FALSE
"563","WY",99,"408","389-8606","no","yes",28,200.7,88,264.2,116,172.7,102,9.1,5,1,"False.",6.080296090663,FALSE
"564","ID",99,"415","406-7261","no","no",0,145.6,106,98.3,106,230.8,83,10.9,5,1,"False.",6.6844621721692,FALSE
"565","CT",66,"415","417-7973","no","yes",29,229.4,104,257.4,84,231.5,119,8,1,2,"False.",11.4024258011311,FALSE
"566","ME",97,"510","390-2891","no","no",0,211,76,189,100,123,102,4.7,4,3,"False.",10.9593551495199,FALSE
"567","AZ",75,"510","385-7387","no","yes",37,121.5,97,271.4,110,248.7,97,11.3,5,2,"False.",10.3964371232222,FALSE
"568","MD",85,"510","362-2776","yes","no",0,216,73,188.2,117,147.1,98,3.6,7,2,"False.",12.9013428930928,FALSE
"569","IN",108,"510","329-1955","no","no",0,293,88,160.6,101,143.9,87,10,6,2,"False.",8.53282600084136,FALSE
"570","NC",133,"408","344-3160","yes","yes",32,221.1,137,264.9,99,168.9,108,15.4,4,2,"True.",14.3037110685904,FALSE
"571","DE",51,"510","406-2454","no","no",0,181.5,108,196.9,87,187.2,119,10.3,2,1,"False.",4.85342735235959,FALSE
"573","WI",44,"415","355-7705","yes","no",0,62.3,92,275,82,138.7,108,10.8,3,1,"False.",12.4671685386772,FALSE
"574","FL",64,"408","410-7108","no","yes",31,228.6,88,248.5,109,167.1,124,9,1,3,"False.",13.2462452760885,FALSE
"575","WV",44,"510","419-1674","no","no",0,228.1,121,276.5,79,279.8,77,9.9,5,2,"True.",12.2833318471957,FALSE
"576","SD",114,"415","351-7369","no","yes",36,309.9,90,200.3,89,183.5,105,14.2,2,1,"False.",15.1182582349524,FALSE
"577","FL",92,"415","349-9566","no","no",0,201.9,74,226.8,119,217.5,80,13.7,6,3,"False.",8.63398737685657,FALSE
"578","OR",110,"408","333-3421","no","no",0,149.8,112,180,93,140,119,11.7,4,2,"False.",4.31971862303539,FALSE
"579","CO",90,"408","393-8199","no","yes",30,183.8,76,229.7,95,144.1,124,7.7,3,1,"False.",10.1497108652121,FALSE
"580","CT",72,"408","388-4879","no","yes",21,186.7,108,335,86,187.2,119,16.5,4,1,"False.",16.1741599361688,FALSE
"582","PA",171,"415","416-1557","no","yes",25,223.2,77,183.2,118,150.8,90,10.2,3,3,"False.",11.9782139469728,FALSE
"583","NM",104,"415","356-7217","no","no",0,164.2,109,155.4,90,168.9,117,10.7,8,1,"False.",5.75553280098551,FALSE
"584","ME",165,"408","350-2012","no","no",0,150.5,75,193.1,93,311.6,93,10.3,2,1,"False.",12.3461488614439,FALSE
"585","SD",104,"510","420-9838","no","no",0,234.2,128,293.1,92,183.9,79,9.8,6,0,"True.",10.3399271442002,FALSE
"586","AR",110,"408","373-6379","no","no",0,55.3,102,164.7,124,200.7,108,10.2,5,1,"False.",8.40049809515586,FALSE
"587","TX",90,"408","355-7293","yes","no",0,221.8,97,203.8,134,215.8,154,8.4,4,1,"False.",12.4783995192913,FALSE
"588","NH",114,"415","406-4588","no","no",0,169.6,85,58.9,86,179.3,124,7.4,8,1,"False.",15.8987127829355,FALSE
"590","WI",117,"408","375-8493","no","yes",14,80.2,81,219,103,122.6,102,8.6,2,1,"False.",9.71914676018269,FALSE
"591","AL",109,"408","361-2924","no","no",0,218.9,105,299.9,87,158.6,110,11.3,4,2,"False.",6.91213970473436,FALSE
"592","PA",82,"408","359-6163","no","no",0,125.7,96,207.6,137,183.1,103,12.9,2,1,"False.",7.75424325295651,FALSE
"593","OK",92,"510","411-8140","no","no",0,176.3,85,93.4,125,207.2,107,9.6,1,2,"False.",9.68653776939871,FALSE
"594","ME",82,"510","381-9049","no","yes",29,207.2,111,254.1,137,169.3,92,9.5,5,2,"False.",9.18431605728269,FALSE
"595","WV",90,"415","344-4478","no","no",0,205.7,138,161.9,83,269.7,104,12.5,6,2,"False.",9.34907276814796,FALSE
"597","MN",124,"510","410-7383","no","no",0,157.5,70,130.7,79,193.4,98,9.6,4,3,"False.",8.24180186903091,FALSE
"598","NY",39,"408","356-1889","no","no",0,160.4,68,102.6,103,235.3,106,9.1,5,2,"False.",10.3575727763334,FALSE
"599","AZ",84,"415","341-2360","no","no",0,159,80,167.9,128,167.6,101,12.3,5,1,"False.",5.63536670424805,FALSE
"601","MI",102,"510","336-4656","no","no",0,102.6,89,246,77,170.5,140,9.1,4,2,"False.",10.8905194602707,FALSE
"602","MA",62,"415","386-2810","yes","no",0,159.7,86,197.5,76,121.6,105,13.9,6,0,"True.",10.0619816570573,FALSE
"603","WV",143,"510","350-1354","no","no",0,202.8,109,165.8,104,143.9,71,4.6,4,1,"False.",10.8547780726695,FALSE
"604","MI",53,"415","346-5707","no","no",0,57.5,95,265.5,131,244.3,128,11.6,6,3,"False.",17.2083438122457,FALSE
"605","NM",30,"415","405-8370","no","no",0,169.9,144,225.2,118,169.7,93,11.4,7,1,"False.",13.21072701644,FALSE
"606","MO",112,"415","373-2053","no","no",0,335.5,77,212.5,109,265,132,12.7,8,2,"True.",18.2606286802624,FALSE
"607","RI",129,"415","369-5222","no","no",0,139.5,119,289.3,105,129.4,97,13.1,8,0,"False.",12.4453636990218,FALSE
"608","NC",63,"415","347-7420","no","yes",29,142.3,107,118.7,56,240.1,91,6.6,8,1,"False.",17.5428909415821,FALSE
"609","WY",28,"415","392-6856","no","no",0,187.8,94,248.6,86,208.8,124,10.6,5,0,"False.",8.36161671404544,FALSE
"610","WY",111,"415","371-5556","no","no",0,146.2,55,261.5,83,163.2,116,8.7,3,3,"False.",12.844686219595,FALSE
"611","PA",91,"510","334-5337","no","no",0,231.8,120,150.6,106,269.2,129,11.6,7,3,"False.",10.7867968060377,FALSE
"612","KY",90,"415","334-8817","no","no",0,193.7,83,154.2,79,299,60,12.7,3,1,"False.",13.0074295402134,FALSE
"613","OR",151,"510","339-1405","no","no",0,156.4,108,233.4,118,195.7,141,7.7,6,4,"False.",14.8296841000106,FALSE
"614","NV",105,"415","380-7742","yes","yes",29,220.7,82,217.7,110,190.5,100,13.2,6,1,"True.",6.29033991070402,FALSE
"615","DC",41,"408","329-6191","no","yes",37,239.8,110,221.9,115,189.1,100,7.3,1,2,"False.",13.4565532662672,FALSE
"616","UT",48,"510","340-3075","no","yes",43,172,111,200.2,64,233.1,96,8,5,1,"False.",14.1610253954574,FALSE
"618","FL",79,"510","334-7443","no","no",0,130.2,119,290.9,121,194.8,140,14,6,3,"False.",15.9761839122159,FALSE
"619","VA",153,"510","394-9121","no","no",0,195.4,107,154.6,96,142.8,97,11.6,6,1,"False.",5.37345087112594,FALSE
"620","KS",110,"415","383-1657","yes","no",0,293.3,79,188.5,90,266.9,91,14.5,4,0,"True.",12.7668846374584,FALSE
"621","KS",163,"415","347-4112","no","no",0,191.3,89,193.9,87,268.4,121,12.8,4,1,"False.",8.34167304154973,FALSE
"622","DC",126,"510","362-8280","no","no",0,122.4,88,143.8,111,157,106,11.5,3,1,"False.",5.56332401548437,FALSE
"624","LA",172,"415","392-8905","no","no",0,215.7,140,146.3,84,264.6,83,7.1,1,3,"False.",17.5807876096884,FALSE
"625","DC",126,"415","392-5512","no","no",0,161.4,110,220.6,125,249.2,78,5.1,2,0,"False.",11.7997712123695,FALSE
"626","TX",97,"510","351-6384","no","no",0,144.2,91,226.7,137,144.6,72,13.8,4,3,"False.",11.6460565525194,FALSE
"627","NJ",95,"408","348-8015","yes","yes",37,220.2,109,185.3,99,205.1,82,4.1,2,0,"True.",15.2217375225836,FALSE
"628","DE",87,"510","374-6966","no","no",0,256.2,105,160.7,102,249.4,80,7.4,2,4,"False.",11.5307909284722,FALSE
"629","VT",97,"415","328-2236","no","no",0,112.7,119,217.7,109,152.1,76,6.5,5,1,"False.",7.97409344154305,FALSE
"630","GA",76,"415","372-6497","no","no",0,299.5,125,226.7,92,210.7,134,13.7,4,0,"True.",13.9212347065436,FALSE
"631","TX",140,"408","417-8617","no","no",0,194.8,107,170.9,99,225.1,93,13.9,4,0,"False.",5.64894655202384,FALSE
"632","MT",169,"415","361-9621","no","no",0,100.8,112,230,69,193.6,95,9.5,2,0,"False.",11.9898384639351,FALSE
"633","ND",68,"408","421-2723","no","yes",22,82.5,97,289.9,94,180,114,4.8,4,3,"False.",15.9774052428424,FALSE
"634","NJ",122,"415","327-9341","no","yes",34,146.4,104,89.7,103,220,91,15.6,4,2,"False.",14.0080286269385,FALSE
"635","MO",36,"408","383-5474","no","no",0,177.9,129,224.6,87,306.3,102,10.8,6,2,"False.",11.4821612500091,FALSE
"636","CO",120,"510","328-8147","no","yes",27,153.5,84,194,73,256.5,94,10.2,7,5,"False.",17.1271503525058,FALSE
"638","NC",64,"408","333-9253","no","yes",19,180.1,106,127.5,92,237.4,118,7.5,3,0,"False.",8.5259726792617,FALSE
"639","MT",13,"415","347-9421","no","yes",31,265.3,94,147.6,95,259.3,117,12.9,1,1,"False.",17.1006409248574,FALSE
"640","DE",106,"415","419-3167","no","no",0,128.6,83,134,114,210.6,113,11.4,2,0,"False.",7.85050173005337,FALSE
"641","ND",88,"415","414-4162","no","no",0,161.5,92,173.5,108,206.2,95,7.9,4,2,"False.",2.22974620505771,FALSE
"642","VA",74,"408","416-5341","no","no",0,165.3,120,198.5,106,208.5,102,9.8,3,1,"False.",2.62303156453266,FALSE
"644","OK",49,"415","336-6085","no","no",0,213.8,79,265.1,93,239.8,128,15.6,7,0,"False.",14.8275286148554,FALSE
"645","CO",111,"510","377-1479","no","yes",24,205.5,114,219.3,99,215.9,95,14,4,1,"False.",4.63714963264816,FALSE
"646","MT",50,"415","360-2107","no","yes",22,252.9,112,177.9,99,158.4,146,8.5,4,3,"False.",14.169696760661,FALSE
"648","ME",88,"415","420-5179","no","no",0,192,91,127.6,127,155.6,125,7.5,5,1,"False.",8.74099704794694,FALSE
"650","MO",79,"408","411-5958","no","no",0,261.7,97,210.6,48,256.7,83,6,3,3,"True.",16.802376631318,FALSE
"651","NY",140,"415","333-8180","no","no",0,235.5,81,257.2,130,103.1,111,11.5,4,2,"False.",11.5690052154079,FALSE
"652","CT",105,"408","357-2679","no","no",0,213.4,100,204.9,52,179.7,93,9.5,6,1,"False.",8.10346725631093,FALSE
"654","WY",87,"415","341-9443","no","yes",22,263.8,65,103.4,115,208.1,109,8.5,3,3,"False.",14.3083814518589,FALSE
"655","CA",96,"510","341-4103","no","yes",31,183.4,126,195.5,106,180.1,93,10.5,5,1,"False.",5.43558823658146,FALSE
"656","CA",79,"510","416-8701","no","no",0,157.6,85,194.1,92,231.5,86,9.4,10,5,"True.",16.9899502145245,FALSE
"658","AK",130,"415","392-5587","no","no",0,242.5,101,102.8,114,142.4,89,9.3,2,2,"False.",9.55201704384459,FALSE
"659","VA",34,"415","392-9342","no","no",0,151,102,131.4,101,186.6,86,9.9,7,0,"False.",9.92937883186271,FALSE
"660","CO",139,"415","368-2845","no","no",0,138.1,103,164.5,100,134.9,63,8.3,2,1,"False.",9.62230097746459,FALSE
"661","MT",109,"408","405-4920","no","no",0,264.7,69,305,120,197.4,86,9.5,9,1,"True.",15.6199738420889,FALSE
"662","SD",65,"408","348-7484","no","yes",31,282.3,70,152,89,225.5,93,12,4,1,"False.",12.4452601741699,FALSE
"663","NE",63,"415","338-5207","no","no",0,211.2,80,237.7,93,259.2,58,12.3,2,0,"False.",12.9851229066112,FALSE
"664","VT",152,"415","418-7846","no","no",0,197.1,126,130.1,76,78.1,100,7.4,4,3,"False.",16.1754455277308,FALSE
"665","ND",147,"408","358-8729","no","no",0,205.3,95,166.7,128,240.6,84,7.8,4,1,"False.",6.93986866251438,FALSE
"666","GA",112,"415","349-1943","no","yes",22,181.8,110,228.1,123,262.7,141,9.2,4,2,"False.",10.076447441543,FALSE
"667","OR",120,"415","368-8283","no","no",0,252,120,150.2,106,151.8,96,9.6,1,2,"False.",7.76294155066449,FALSE
"668","MT",27,"510","345-1419","no","no",0,193.8,102,118.9,104,135.9,124,9.2,3,0,"False.",12.3170210600722,FALSE
"669","WY",171,"415","358-8025","no","no",0,231.2,135,188.7,74,206.9,124,12.3,1,1,"False.",14.3232163536826,FALSE
"670","GA",101,"415","383-8695","no","yes",33,200.1,108,188.9,122,205.1,90,15.5,4,0,"False.",10.694439950174,FALSE
"671","WV",32,"408","370-7565","no","yes",26,266.7,109,232.3,107,212.8,98,16.3,4,1,"False.",13.8840840710414,FALSE
"673","IL",151,"408","386-5303","no","no",0,175.3,106,144.3,87,160.2,88,11.8,5,0,"False.",6.8221719266235,FALSE
"674","CO",60,"408","351-6552","no","no",0,125.1,99,248.8,62,211.3,79,11.2,3,3,"False.",10.0589721873223,FALSE
"676","LA",43,"415","330-2849","no","no",0,241.9,101,129.4,121,264.8,104,5.9,3,1,"False.",11.7374676490881,FALSE
"677","MA",42,"408","364-6801","no","no",0,241.2,134,116.5,114,152.2,91,10.6,4,0,"False.",14.0133490012689,FALSE
"678","IN",84,"408","375-3003","no","no",0,217.1,99,236,68,118.3,120,9.4,4,1,"False.",8.546985061024,FALSE
"679","NY",65,"510","383-8878","no","no",0,195.4,110,181.2,109,178.5,105,8.9,4,0,"False.",4.12955829944412,FALSE
"680","TX",75,"415","384-2372","yes","no",0,222.4,78,327,111,208,104,8.7,9,1,"True.",13.7859298169437,FALSE
"681","KS",116,"510","377-7107","no","no",0,189.5,90,189.8,118,205.8,83,13.1,2,1,"False.",4.93709515094915,FALSE
"682","WV",107,"415","361-1581","no","no",0,123.1,100,158.4,82,256.1,82,9.3,5,0,"False.",6.98404499840738,FALSE
"684","ND",123,"408","383-8364","no","no",0,159.1,94,241.6,119,202.4,120,6.5,1,1,"False.",8.66111299891973,FALSE
"685","AK",110,"408","396-2335","no","no",0,100.1,90,233.3,93,204.4,57,11.1,8,3,"False.",12.1722384136278,FALSE
"686","CO",63,"415","408-4530","no","yes",32,30.9,113,187,113,230.8,101,8.6,7,1,"False.",15.4900982266559,FALSE
"687","ME",176,"415","408-6621","no","no",0,223.2,76,214.4,131,154.4,80,10.1,2,3,"False.",13.7404429698619,FALSE
"688","SC",108,"510","393-7522","no","no",0,187.4,101,199.9,126,216.1,107,12.6,8,1,"False.",5.87543680173301,FALSE
"690","CO",71,"415","357-4265","no","no",0,277.5,104,131.8,121,126.9,101,8.2,2,1,"False.",11.4634559254781,FALSE
"691","KS",88,"415","398-8801","no","no",0,189.8,111,197.3,101,234.5,111,14.9,3,2,"False.",5.27391409669086,FALSE
"692","MS",137,"510","346-2347","no","no",0,147.2,119,192.8,91,172.7,105,10.2,4,1,"False.",3.24272805279011,FALSE
"694","NJ",92,"510","420-8242","no","yes",29,155.4,110,188.5,104,254.9,118,8,4,3,"False.",8.15375536966127,FALSE
"696","MT",96,"415","332-1494","no","no",0,97.6,98,105.5,118,220.2,105,11.6,9,1,"False.",12.3355031187113,FALSE
"697","AR",156,"415","388-6223","no","no",0,178.8,94,178.4,97,169.2,77,7.5,3,1,"False.",6.32192326890762,FALSE
"698","WA",63,"408","404-9539","no","no",0,149.3,104,273.6,75,206.6,72,9.1,4,0,"False.",9.15465867619371,FALSE
"700","IA",98,"415","338-7886","no","no",0,216.8,86,190.8,114,187.5,79,11,9,0,"False.",9.48409334564336,FALSE
"701","WV",121,"415","332-5596","no","no",0,103.3,110,129.1,82,167.1,113,10.7,3,0,"False.",8.79076609437981,FALSE
"702","RI",94,"415","348-9945","no","no",0,139.4,95,159.1,92,128.2,129,7.7,3,0,"False.",9.5728628059505,FALSE
"703","KS",99,"415","407-1896","no","no",0,191.2,110,163.9,102,243.6,114,14.1,3,1,"False.",5.025694073527,FALSE
"704","MT",163,"510","398-9408","no","yes",23,160,104,189.4,64,229.9,118,10.4,7,1,"False.",10.7557884947656,FALSE
"705","MO",161,"510","369-8005","no","no",0,221.7,95,193,82,194.1,113,6.5,4,3,"False.",9.17345656759002,FALSE
"706","HI",99,"415","346-2530","no","no",0,62.9,81,231,64,168.9,121,8.5,5,1,"False.",12.4714696385026,FALSE
"707","CO",108,"415","400-5984","no","no",0,215.6,78,195.3,119,194.4,65,3.6,5,1,"False.",13.2884924347433,FALSE
"708","CT",84,"510","351-1007","no","yes",42,165.3,97,223.5,118,260.8,72,7.6,7,3,"False.",15.7146941044943,FALSE
"709","ID",83,"415","345-5980","yes","yes",32,94.7,111,154.4,98,200.4,109,10.6,6,2,"False.",8.3679316098803,FALSE
"710","DC",139,"510","368-8964","no","no",0,203.2,81,152.5,99,197.8,76,9.7,3,2,"False.",5.64415295716977,FALSE
"711","TN",69,"510","358-1912","no","no",0,195.3,70,216.7,108,259.9,119,12.5,4,3,"False.",8.50139948209701,FALSE
"712","WY",129,"510","379-3132","no","no",0,143.7,114,297.8,98,212.6,86,11.4,8,4,"False.",13.4662447675272,FALSE
